               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.082129,             0.15137,                   0,             0.16699,             0.30088,              0.1215,            0.031103,            0.079392,            0.080814,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.080362,             0.14709,                   0,             0.15208,             0.32743,             0.12261,            0.031423,            0.079445,            0.080628,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.081555,             0.15702,                   0,             0.15332,             0.32743,             0.12212,            0.031499,             0.07927,            0.080751,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.082094,              0.1655,                   0,             0.16269,             0.32743,             0.11895,            0.031335,            0.079441,            0.081645,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.080429,             0.13864,                   0,             0.14547,             0.32743,             0.11848,            0.031417,             0.07947,             0.08196,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.080266,             0.14733,                   0,             0.14925,             0.32743,             0.11781,            0.031553,             0.07949,            0.082062,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.082537,             0.16083,                   0,             0.14395,             0.32743,             0.11954,            0.031901,            0.079495,            0.082092,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.081935,             0.16287,                   0,             0.15092,             0.32743,             0.12047,            0.032233,            0.079457,            0.081771,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.079846,             0.14255,                   0,             0.15844,             0.34513,             0.11925,            0.031514,            0.079414,             0.08222,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.082604,             0.15539,                   0,             0.13671,             0.32743,             0.10984,            0.030197,            0.079596,             0.08376,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.080908,             0.15491,                   0,             0.12147,             0.29204,              0.1058,            0.029576,            0.079688,            0.084515,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.082402,             0.15378,                   0,             0.13493,             0.31858,             0.10596,            0.029686,            0.079562,            0.084025,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.082215,             0.15919,                   0,             0.13702,             0.32743,             0.10865,            0.030039,            0.079584,            0.084019,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.080234,             0.16052,                   0,             0.14583,              0.3354,             0.10956,            0.030014,            0.079568,            0.083656,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.07969,              0.1412,                   0,             0.15812,             0.32743,             0.11515,            0.029848,            0.079621,            0.083313,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.079747,             0.15918,                   0,             0.15173,             0.31858,             0.11526,            0.029806,            0.079698,            0.082914,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.080451,             0.15778,                   0,             0.16156,             0.33628,             0.11948,             0.03031,            0.079705,            0.082827,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.079368,             0.14789,                   0,             0.16402,             0.33628,              0.1185,            0.030008,            0.079707,             0.08316,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.081398,             0.15502,                   0,             0.15464,             0.32743,             0.11738,            0.029824,             0.07972,            0.083343,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.08133,             0.15238,                   0,             0.16287,             0.31858,             0.11728,            0.029767,             0.07967,            0.082804,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.080861,             0.15026,                   0,             0.16754,             0.31858,             0.11825,            0.029999,            0.079755,            0.082585,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.080404,             0.15783,                   0,             0.15986,             0.30088,             0.11881,            0.030184,             0.07986,             0.08292,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.080416,             0.15801,                   0,             0.17581,             0.33628,             0.12271,            0.030488,            0.079769,            0.082522,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.080187,             0.16405,                   0,             0.17468,             0.33628,             0.12266,            0.030746,            0.079625,            0.082314,                   0,            0.000298,            0.000298,            0.000298
