               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.086782,             0.15401,                   0,             0.12011,             0.30973,             0.12482,             0.02915,            0.078784,            0.083654,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.084155,             0.14439,                   0,              0.1163,             0.24779,             0.11203,            0.026853,             0.07867,             0.08246,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.086536,              0.1571,                   0,             0.13969,             0.25664,              0.1012,            0.027258,             0.07872,            0.081211,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.085153,             0.16684,                   0,             0.13664,             0.30973,             0.10067,             0.02673,            0.077736,            0.079778,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.084599,              0.1668,                   0,             0.15014,             0.27434,             0.10064,            0.028074,            0.077038,            0.079987,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.085827,             0.14892,                   0,             0.14813,             0.29204,              0.1026,             0.02828,            0.076968,            0.080805,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.085116,             0.14807,                   0,             0.14044,             0.27434,            0.097983,            0.023918,            0.076011,             0.08117,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.083254,             0.14178,                   0,             0.11549,             0.29204,             0.09877,            0.022539,              0.0759,            0.080949,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.084095,             0.15429,                   0,             0.11029,             0.27756,            0.091778,            0.021619,            0.075984,            0.081282,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.084958,             0.16121,                   0,            0.077229,             0.26549,            0.085228,            0.025458,            0.077004,            0.084638,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.083348,             0.13582,                   0,            0.093525,             0.26549,            0.087074,            0.023527,            0.077308,            0.085354,                   0,            0.002179,            0.002179,            0.002179
                  81,              0.0836,             0.14234,                   0,             0.08456,             0.29204,            0.053044,            0.014207,            0.077823,             0.08594,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.084223,             0.15839,                   0,            0.081906,             0.24779,            0.066916,             0.01577,            0.077793,            0.086031,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.084073,             0.16016,                   0,            0.086966,             0.30973,            0.075098,            0.019038,            0.076967,            0.084485,                   0,            0.001882,            0.001882,            0.001882
